category,kr,vn,vn_origin,th,th_match,id,id_match,en,en_match,string_id
ACTIVE_SKILL,1단 가속,Tăng tốc cấp 1,central,เร่งความเร็วระดับ 1,string_id,Acceleration Lv.1,string_id,Acceleration Lv.1,string_id,STR_SKILL_ABNORMAL_1ST_SPEED_POTION_02__text_desc_short
ACTIVE_SKILL,2단 가속,Tăng tốc gấp 2 lần,central,เร่งความเร็วระดับ 2,string_id,Acceleration Lv.2,string_id,Acceleration Lv.2,string_id,STR_SKILL_ABNORMAL_2ND_SPEED_POTION_01__text_desc_short
ACTIVE_SKILL,3단 가속,Tăng tốc 3 cấp,central,เร่งความเร็วระดับ 3,string_id,Acceleration Lv. 3,string_id,Acceleration Lv.3,string_id,STR_SKILL_ABNORMAL_3RD_SPEED_POTION_01__text_desc_short
ACTIVE_SKILL,3단가속,Tăng Tốc 3 Giai Đoạn,central,เร่งความเร็ว 3 เท่า,string_id,Acceleration Lv. 3,string_id,Acceleration Lv.3,string_id,STR_ABNORMAL_EVENT_12000025__text_desc_short
ACTIVE_SKILL,AC 감소 1단계,Giảm AC cấp 1,base,ลด AC ระดับ 1,string_id,Stage 1 AC Menurun,string_id,Decreased Defense Lv.1,string_id,STR_SKILL_ABNORMAL_DEBUFF_STATCHANGE_ARMORCLASS_1
ACTIVE_SKILL,AC 증가 1단계,Tăng AC cấp 1,base,เพิ่ม AC ระดับ 1,string_id,Stage 1 AC Meningkat,string_id,Increased Defense Lv.1,string_id,STR_SKILL_ABNORMAL_BUFF_STATCHANGE_ARMORCLASS_1
ACTIVE_SKILL,CC/상태이상 레벨 증가,Tăng Khống chế/Cấp Khống chế,base,เลเวล CC/สถานะผิดปกติ เพิ่มขึ้น,string_id,Meningkatkan Level CC/Efek Status,string_id,CC Level ↑,string_id,STR_ABNORMAL_17000001__text_desc_short
ACTIVE_SKILL,CC/상태이상 시간 감소,Giảm thời gian khống chế,base,ลดเวลา CC/สถานะผิดปกติ,string_id,Reduksi efek durasi CC/Efek Status,string_id,CC Duration Reduction,string_id,STR_SKILL_13000033
ACTIVE_SKILL,CC/상태이상 시간 증가,Tăng thời gian khống chế,base,เพิ่มเวลา CC/สถานะผิดปกติ,string_id,Peningkatan Durasi CC/Efek Status,string_id,Increases CC Duration,string_id,STR_SKILL_13000027
ACTIVE_SKILL,CC/상태이상 저항 능력,Khả năng kháng khống chế,base,ความสามารถความต้านทาน CC / ค่าสถานะผิดปกติ,string_id,Kemampuan Resistensi CC/Efek Status,string_id,CC Resistance abilities,string_id,STR_ASKILL_ABNORMAL_BUFF_SUMMONSWORD_EPIC_TYPE06__text_desc_short
ACTIVE_SKILL,FriendlyAlliance,FriendlyAlliance,base,riendlyAlliance,string_id,FriendlyAlliance,string_id,FriendlyAlliance,string_id,STR_TESTSKILL_TEMPNAME_012
ACTIVE_SKILL,HP 지속 회복,Hồi phục HP liên tục,central,ฟื้นฟู HP ต่อเนื่อง,string_id,Pemulihan HP terus-menerus,string_id,Recovers HP over time,string_id,STR_ASKILL_ABNORMAL_BUFF_FROZENCRYSTAL_EPIC_TYPE01__text_desc_short
ACTIVE_SKILL,MP 회복 증가,Tăng phục hồi MP,base,ฟื้นฟู MP เพิ่มขึ้น,string_id,Meningkatkan Recovery MP,string_id,MP Recovery ↑,string_id,STR_SKILL_ABNORMAL_MP_DOT_POTION_01__text_desc_short
ACTIVE_SKILL,MyGuild,MyGuild,base,MyGuild,string_id,MyGuild,string_id,MyGuild,string_id,STR_TESTSKILL_TEMPNAME_002
ACTIVE_SKILL,MyGuildOrUnion,MyGuildOrUnion,base,MyGuildOrUnion,string_id,MyGuildOrUnion,string_id,MyGuildOrUnion,string_id,STR_TESTSKILL_TEMPNAME_006
ACTIVE_SKILL,MyGuildOrUnionWithoutParty,MyGuildOrUnionWithoutParty,base,MyGuildOrUnionWithoutParty,string_id,MyGuildOrUnionWithoutParty,string_id,MyGuildOrUnionWithoutParty,string_id,STR_TESTSKILL_TEMPNAME_007
ACTIVE_SKILL,MyParty,MyParty,base,MyParty,string_id,MyParty,string_id,MyParty,string_id,STR_TESTSKILL_TEMPNAME_001
ACTIVE_SKILL,MyPartyAndGuild,MyPartyAndGuild,base,MyPartyAndGuild,string_id,MyPartyAndGuild,string_id,MyPartyAndGuild,string_id,STR_TESTSKILL_TEMPNAME_004
ACTIVE_SKILL,MyPartyOrGuild,MyPartyOrGuild,base,MyPartyOrGuild,string_id,MyPartyOrGuild,string_id,MyPartyOrGuild,string_id,STR_TESTSKILL_TEMPNAME_003
ACTIVE_SKILL,MyPartyOrGuildOrUnion,MyPartyOrGuildOrUnion,base,MyPartyOrGuildOrUnion,string_id,MyPartyOrGuildOrUnion,string_id,MyPartyOrGuildOrUnion,string_id,STR_TESTSKILL_TEMPNAME_005
ACTIVE_SKILL,NoBody,Không Người,base,NoBody,string_id,NoBody,string_id,Temporary,string_id,STR_TESTSKILL_TEMPNAME_009
